DEBUG 2020-02-09 09:05:50,130 - pop widget QLabel givenLabel
DEBUG 2020-02-09 09:05:50,130 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,130 - setting property geometry
DEBUG 2020-02-09 09:05:50,130 - setting property text
DEBUG 2020-02-09 09:05:50,130 - push QLabel firstLabel
DEBUG 2020-02-09 09:05:50,130 - pop widget QLabel firstLabel
DEBUG 2020-02-09 09:05:50,130 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,130 - setting property geometry
DEBUG 2020-02-09 09:05:50,130 - setting property text
DEBUG 2020-02-09 09:05:50,131 - push QLabel secondLabel
DEBUG 2020-02-09 09:05:50,131 - pop widget QLabel secondLabel
DEBUG 2020-02-09 09:05:50,131 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,131 - setting property geometry
DEBUG 2020-02-09 09:05:50,131 - setting property text
DEBUG 2020-02-09 09:05:50,131 - push QLabel thirdLabel
DEBUG 2020-02-09 09:05:50,131 - pop widget QLabel thirdLabel
DEBUG 2020-02-09 09:05:50,131 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,131 - setting property geometry
DEBUG 2020-02-09 09:05:50,131 - setting property text
DEBUG 2020-02-09 09:05:50,131 - push QPushButton firstUpButton
DEBUG 2020-02-09 09:05:50,131 - pop widget QPushButton firstUpButton
DEBUG 2020-02-09 09:05:50,132 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,132 - setting property geometry
DEBUG 2020-02-09 09:05:50,132 - setting property text
DEBUG 2020-02-09 09:05:50,132 - push QPushButton secondUpButton
DEBUG 2020-02-09 09:05:50,132 - pop widget QPushButton secondUpButton
DEBUG 2020-02-09 09:05:50,132 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,132 - setting property geometry
DEBUG 2020-02-09 09:05:50,132 - setting property text
DEBUG 2020-02-09 09:05:50,132 - push QPushButton thirdUpButton
DEBUG 2020-02-09 09:05:50,132 - pop widget QPushButton thirdUpButton
DEBUG 2020-02-09 09:05:50,132 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,133 - setting property geometry
DEBUG 2020-02-09 09:05:50,133 - setting property text
DEBUG 2020-02-09 09:05:50,133 - push QPushButton firstDownButton
DEBUG 2020-02-09 09:05:50,133 - pop widget QPushButton firstDownButton
DEBUG 2020-02-09 09:05:50,133 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,133 - setting property geometry
DEBUG 2020-02-09 09:05:50,133 - setting property text
DEBUG 2020-02-09 09:05:50,133 - push QPushButton secondDownButton
DEBUG 2020-02-09 09:05:50,133 - pop widget QPushButton secondDownButton
DEBUG 2020-02-09 09:05:50,133 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,134 - setting property geometry
DEBUG 2020-02-09 09:05:50,134 - setting property title
DEBUG 2020-02-09 09:05:50,134 - setting property flat
DEBUG 2020-02-09 09:05:50,134 - push QGroupBox tokenRadioBox
DEBUG 2020-02-09 09:05:50,134 - setting property geometry
DEBUG 2020-02-09 09:05:50,134 - setting property text
DEBUG 2020-02-09 09:05:50,134 - push QRadioButton optionTypeABCButtonOne
DEBUG 2020-02-09 09:05:50,134 - pop widget QRadioButton optionTypeABCButtonOne
DEBUG 2020-02-09 09:05:50,134 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3170>
